cluster,mal,scheduler,policy,bar_order,bar_label,seed_count,wait_mean_h_mean,wait_mean_h_std,runtime_mean_h_mean,runtime_mean_h_std,turnaround_mean_h_mean,turnaround_mean_h_std
cori_haswell,0,min_steal_agreement,F0,1,MSA F0 (no shutdown),3,0.0782222722452328,0.0,0.8381033508013687,0.0,0.9163255322148188,0.0
cori_haswell,0,min_steal_agreement,F30,2,MSA F30 (30% off),3,0.39647035302904005,0.01908765396235935,0.8381033483335668,1.7222257163616925e-09,1.2345735428763898,0.019087650833668795
cori_haswell,0,min_steal_agreement,F10,3,MSA F10 (10% off),3,0.10731413116697347,0.0021470573313158744,0.8381033496008163,1.7328476984191286e-10,0.9454173760963377,0.002147056540316389
cori_haswell,25,min_steal_agreement,F0,1,MSA F0 (no shutdown),3,0.019788933118134115,0.007669073279674707,0.6747178008058792,0.004843284873000259,0.6945067415807261,0.004071664093772142
cori_haswell,25,min_steal_agreement,F30,2,MSA F30 (30% off),3,0.015553472715352434,0.004817039504667748,0.6803907888234589,0.007721290078625945,0.6959442717342148,0.004733678135077823
cori_haswell,25,min_steal_agreement,F10,3,MSA F10 (10% off),3,0.01644256101225574,0.002433453577099147,0.6686515836231536,0.01019193157960673,0.685094145786781,0.009044152298669566
cori_haswell,50,min_steal_agreement,F0,1,MSA F0 (no shutdown),3,0.0018727694247268507,0.0005887446507297649,0.5372010894380536,0.018899534879540447,0.5390738465400867,0.0185496086650947
cori_haswell,50,min_steal_agreement,F30,2,MSA F30 (30% off),3,0.0013957786446295575,0.0001950383566808356,0.5649865399009729,0.011993393452309079,0.5663823130119985,0.012140392619304666
cori_haswell,50,min_steal_agreement,F10,3,MSA F10 (10% off),3,0.0011437240370495946,6.124666101636091e-05,0.5414474313167971,0.015088770838756796,0.5425911339471023,0.015043420225619771
cori_haswell,75,min_steal_agreement,F0,1,MSA F0 (no shutdown),3,0.0007455228240395349,0.00021285152150257944,0.4334656727450861,0.005217537445104406,0.4342112009674124,0.005292807995296927
cori_haswell,75,min_steal_agreement,F30,2,MSA F30 (30% off),3,0.0016372276170065127,0.00020792719193625406,0.4789262240200603,0.004172439042569349,0.48056344610784973,0.004379970783709594
cori_haswell,75,min_steal_agreement,F10,3,MSA F10 (10% off),3,0.0005782939437258642,8.664706844634562e-05,0.44553776771951614,0.004212176157775051,0.4461160526317927,0.0041970369986146965
cori_haswell,100,min_steal_agreement,F0,1,MSA F0 (no shutdown),3,0.00039963624773455697,1.746547523382964e-05,0.3357330147259833,0.00023775865856123904,0.3361326472651076,0.00022029927483428632
cori_haswell,100,min_steal_agreement,F30,2,MSA F30 (30% off),3,0.003469317316267636,0.00020116745636227616,0.4003241032038949,0.0018053057156120391,0.40379339813601306,0.0016075033013287878
