cluster,mal,seed,scheduler,policy,baseline_cluster,baseline_mal,baseline_seed,baseline_scheduler,baseline_policy,cost_savings_delta_pct,co2_savings_delta_pct,energy_savings_delta_pct,turnaround_delta_pct,turnaround_delta_s,run_cost_per_day_usd,baseline_cost_per_day_usd,run_turnaround_mean_s,baseline_turnaround_mean_s
cori_haswell,0,S0,min_steal_agreement,F30,cori_haswell,0,S0,rigid_easy_backfill,F0,7.371278269937644,7.756795745603734,6.219513404653197,38.110042162071736,1229.3604923239172,2727.6556077810505,2944.719042685222,4455.178210120655,3225.817717796738
cori_haswell,0,S0,min_steal_agreement,F10,cori_haswell,0,S0,rigid_easy_backfill,F0,3.4890375851081115,3.6854600001680025,2.9022096182839427,5.234882881086943,168.86777948401095,2841.976688510099,2944.719042685222,3394.685497280749,3225.817717796738
cori_haswell,0,S0,min_steal_agreement,F0,cori_haswell,0,S0,rigid_easy_backfill,F0,1.571869024807269,1.6749105460655376,1.2640240856231904,2.2615722448954134,72.95419817660968,2898.431916185652,2944.719042685222,3298.771915973348,3225.817717796738
cori_haswell,0,S0,rigid_easy_backfill,F30,cori_haswell,0,S0,rigid_easy_backfill,F0,5.875320106591043,6.161493505365147,5.020353764227719,35.865507672810956,1156.9559010872845,2771.707372687722,2944.719042685222,4382.773618884023,3225.817717796738
cori_haswell,0,S0,rigid_easy_backfill,F10,cori_haswell,0,S0,rigid_easy_backfill,F0,1.9416360865236433,2.0362087375421987,1.6590925871095163,3.611256274480529,116.49254473723931,2887.5433151057123,2944.719042685222,3342.3102625339775,3225.817717796738
cori_haswell,0,S0,rigid_easy_backfill,F0,cori_haswell,0,S0,rigid_easy_backfill,F0,0.0,0.0,0.0,0.0,0.0,2944.719042685222,2944.719042685222,3225.817717796738,3225.817717796738
cori_haswell,0,S3,min_steal_agreement,F30,cori_haswell,0,S3,rigid_easy_backfill,F0,7.381437551648185,7.7674498465180655,6.228194364738479,39.72253568232861,1281.376593998688,2727.356554368639,2944.7191602542234,4507.194311795426,3225.817717796738
cori_haswell,0,S3,min_steal_agreement,F10,cori_haswell,0,S3,rigid_easy_backfill,F0,3.4808159614409107,3.676837911816857,2.8951844109431675,5.607696511137782,180.8940676165521,2842.2189057044857,2944.7191602542234,3406.7117854132903,3225.817717796738
cori_haswell,0,S3,min_steal_agreement,F0,cori_haswell,0,S3,rigid_easy_backfill,F0,1.5718729545867929,1.6749146629412575,1.2640274540502916,2.2615722448954134,72.95419817660968,2898.431916185652,2944.7191602542234,3298.771915973348,3225.817717796738
cori_haswell,0,S3,rigid_easy_backfill,F30,cori_haswell,0,S3,rigid_easy_backfill,F0,5.866278191813199,6.152011167644078,5.012627642253175,40.0006971363979,1290.3495754681362,2771.973742346085,2944.7191602542234,4516.167293264874,3225.817717796738
cori_haswell,0,S3,rigid_easy_backfill,F10,cori_haswell,0,S3,rigid_easy_backfill,F0,1.9285890714527538,2.022526228287576,1.6479441605076826,3.538429777657967,114.14329469948643,2887.927628344585,2944.7191602542234,3339.9610124962246,3225.817717796738
cori_haswell,0,S3,rigid_easy_backfill,F0,cori_haswell,0,S3,rigid_easy_backfill,F0,0.0,0.0,0.0,0.0,0.0,2944.7191602542234,2944.7191602542234,3225.817717796738,3225.817717796738
cori_haswell,0,S7,min_steal_agreement,F30,cori_haswell,0,S7,rigid_easy_backfill,F0,7.264145823229991,7.644445122552133,6.127970684879594,35.501199149550274,1145.2039855992457,2730.8103573401454,2944.719042685222,4371.021741148928,3225.8177555496827
cori_haswell,0,S7,min_steal_agreement,F10,cori_haswell,0,S7,rigid_easy_backfill,F0,3.475381379704539,3.6711386322466804,2.890540640090415,5.682051420337957,183.29262359672475,2842.378825391126,2944.719042685222,3409.1103791464075,3225.8177555496827
cori_haswell,0,S7,min_steal_agreement,F0,cori_haswell,0,S7,rigid_easy_backfill,F0,1.571869024807269,1.6749105460655376,1.2640240856231904,2.261571048090213,72.95416042366514,2898.431916185652,2944.719042685222,3298.771915973348,3225.8177555496827
cori_haswell,0,S7,rigid_easy_backfill,F30,cori_haswell,0,S7,rigid_easy_backfill,F0,5.760445583520229,6.041023707125768,4.922195581550357,36.5489199284177,1179.0015485125346,2775.090104643782,2944.719042685222,4404.819304062217,3225.8177555496827
cori_haswell,0,S7,rigid_easy_backfill,F10,cori_haswell,0,S7,rigid_easy_backfill,F0,1.9229715791210145,2.016635124691189,1.6431441062954584,3.603633772291981,116.24665807157953,2888.092932409421,2944.719042685222,3342.0644136212622,3225.8177555496827
cori_haswell,0,S7,rigid_easy_backfill,F0,cori_haswell,0,S7,rigid_easy_backfill,F0,0.0,0.0,0.0,0.0,0.0,2944.719042685222,2944.719042685222,3225.8177555496827,3225.8177555496827
cori_haswell,100,S0,min_steal_agreement,F30,cori_haswell,0,S0,rigid_easy_backfill,F0,1.6545723049609564,1.8450519655740392,1.085498801181783,-54.96866345009151,-1773.1888848091119,2895.996536946041,2944.719042685222,1452.6288329876263,3225.817717796738
