cluster,mal,scheduler,policy,seed_count,cost_savings_delta_pct_mean,cost_savings_delta_pct_std,turnaround_delta_pct_mean,turnaround_delta_pct_std,energy_savings_delta_pct_mean,co2_savings_delta_pct_mean
cori_haswell,0,min_steal_agreement,F0,3,1.571870334733777,2.2688592659174654e-06,2.2615718459603467,6.909758045471405e-07,1.264025208432224,1.6749119183574441
cori_haswell,0,min_steal_agreement,F30,3,7.338953881605273,0.06498451315219861,37.777925664650205,2.130175240828068,6.191892818090423,7.722896904891311
cori_haswell,25,min_steal_agreement,F0,3,-4.867021434475163,0.16120868589194912,-22.493318637301922,0.4543956249554442,-4.200935660972103,-5.0899729352773955
cori_haswell,25,min_steal_agreement,F30,3,4.983883584519807,0.20390275213783887,-22.33289083018408,0.5282768471839279,4.184799686235085,5.251352072097291
cori_haswell,50,min_steal_agreement,F0,3,-9.05442977673472,0.6317128112033233,-39.839569069120195,2.0701292273274827,-7.704164600331188,-9.506389058271447
cori_haswell,50,min_steal_agreement,F30,3,2.1403546269741933,0.1571469957231999,-36.791954872887885,1.3548628524092472,1.673086205331051,2.2967582016276267
cori_haswell,75,min_steal_agreement,F0,3,-9.56215031365967,0.12768666589165745,-51.54219940270091,0.5906750691865201,-8.221418765703595,-10.010918509427077
cori_haswell,75,min_steal_agreement,F30,3,1.6958376201853513,0.09045460449345577,-46.36930692938883,0.4888030820260056,1.1076665766373677,1.8927095879071418
cori_haswell,100,min_steal_agreement,F0,3,-9.606313740121498,0.028806200479328224,-62.48772772374737,0.024585439894084828,-8.290568554671456,-10.04671852802321
cori_haswell,100,min_steal_agreement,F30,3,1.6426142813136637,0.011252585398900875,-54.936814327130755,0.17939697818567632,1.0752808947442236,1.8325114913073908
cori_knl,0,min_steal_agreement,F0,3,0.05237532105628223,1.1911780227290006e-05,0.40426835103529135,6.739536433841655e-05,0.045005388791995886,0.05482380182387049
cori_knl,0,min_steal_agreement,F30,3,8.863663126113487,0.29468467751807165,3.873937681296217,3.6379826264653987,7.6164230968734214,9.278028294680896
cori_knl,25,min_steal_agreement,F0,3,-3.8733548476552246,0.05256603267383789,19.15635035420008,4.343502220515773,-3.8055943098784124,-3.895866638501634
cori_knl,25,min_steal_agreement,F30,3,7.538373739957758,0.5047818709719464,-14.04895320736063,4.934157545598171,5.998869966609763,8.049836430072837
cori_knl,50,min_steal_agreement,F0,3,-3.906433070848701,0.008828571391592323,16.501187165979943,12.831185108295122,-3.8288060422529537,-3.9322227633003872
cori_knl,50,min_steal_agreement,F30,3,7.005151150790065,0.30658938755004983,-20.94703312345305,2.563388776524441,5.539783426322657,7.49198394143517
cori_knl,75,min_steal_agreement,F0,3,-3.9068162174540877,0.02269916691484728,-14.302902730541934,7.690027886717363,-3.823938314385771,-3.9343503853177633
cori_knl,75,min_steal_agreement,F30,3,6.7895461743191285,0.34607608867166517,-22.918163590361033,15.284014192842532,5.349272935022964,7.268041932277659
cori_knl,100,min_steal_agreement,F0,3,-3.862960539382464,0.00011327847796918911,-62.70804442745347,6.471696372418622e-05,-3.8082407094767246,-3.881139872150633
cori_knl,100,min_steal_agreement,F30,3,7.031059956628607,0.09005031125342436,-53.00247022303131,0.8326288027125363,5.5528403887810045,7.522162459578352
theta,0,min_steal_agreement,F0,3,-0.07631454146839144,0.05827164496170368,0.9770510147146747,0.628918112827985,-0.06649539598486862,-0.0828420647001026
theta,0,min_steal_agreement,F30,3,11.311359995947587,2.0077624338556355,-10.45511567026955,11.205564437821458,9.736337233068252,12.358314816606166
theta,25,min_steal_agreement,F0,3,-1.4308735760315163,0.06831816392419018,-12.663207307505623,4.112691947121358,-1.2466336678174148,-1.5533419668799198
theta,25,min_steal_agreement,F30,3,12.673160001783653,0.7362537370734903,-56.201344469668015,8.055808189664925,10.975554677426503,13.80159885269029
theta,50,min_steal_agreement,F0,3,-1.460146636837925,0.07585047453435839,-12.350929562944987,6.093921171990756,-1.2717457369315877,-1.5853811537601987
theta,50,min_steal_agreement,F30,3,9.996192599590845,0.9197547377166769,-41.89874751449778,8.74471507549192,8.710605793742507,10.850753801097053
theta,75,min_steal_agreement,F0,3,-1.4881462930078053,0.05293818334925745,-19.551326690581334,8.197383604668612,-1.2733650726408112,-1.6309145055927172
theta,75,min_steal_agreement,F30,3,9.19088013252384,0.5067443264310715,-30.056911884883956,7.722415641440331,8.000542565505949,9.982116897351869
theta,100,min_steal_agreement,F0,3,-1.0480266773135032,0.07715821642387855,-45.46231115362001,1.2699985361929336,-1.2154204339325896,-0.936757451771212
theta,100,min_steal_agreement,F30,3,9.53098200882727,0.2221920261665654,-2.4866604802683985,4.598314317092549,8.287947051475275,10.357251098938447
