cluster,mal,seed,scheduler,policy,run,window_start_s,window_end_s,full_shutdown_windows_count,on_windows_count,target_active_fraction,target_off_fraction,target_off_nodes,mean_on_util_percent,mean_off_util_percent,node_off_fraction_percent,node_overrun_node_hours_total,node_overrun_node_hours_per_window,node_overrun_normalized_hours_per_window
cori_haswell,0,S0,min_steal_agreement,F30,cori_haswell_mal0_S0/min_steal_agreement/F30,13405.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,93.51175728178004,67.0282183486887,29.708612506979343,220.31666666667377,55.07916666666844,0.0768832588870302
cori_haswell,0,S0,min_steal_agreement,F10,cori_haswell_mal0_S0/min_steal_agreement/F10,13405.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,90.09753629257477,75.22161589195997,9.878101444723617,92.41666666666292,23.10416666666573,0.09675111669458013
cori_haswell,0,S0,rigid_easy_backfill,F30,cori_haswell_mal0_S0/rigid_easy_backfill/F30,45512.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,93.56350618834983,66.95650561837041,29.7571189279732,182.9500000000077,45.73750000000192,0.0638435231714153
cori_haswell,0,S0,rigid_easy_backfill,F10,cori_haswell_mal0_S0/rigid_easy_backfill/F10,45512.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,90.22893693002094,75.01849525404839,9.89816705053043,77.03333333332658,19.258333333331645,0.08064628699050104
cori_haswell,0,S3,min_steal_agreement,F30,cori_haswell_mal0_S3/min_steal_agreement/F30,13405.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,93.3158558998703,67.27356400055935,29.782353608319372,164.8499999999991,41.21249999999978,0.05752721943048544
cori_haswell,0,S3,min_steal_agreement,F10,cori_haswell_mal0_S3/min_steal_agreement/F10,13405.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,90.22873336590442,75.01038176996127,9.816683242601897,139.18333333332248,34.79583333333062,0.1457111948631936
cori_haswell,0,S3,rigid_easy_backfill,F30,cori_haswell_mal0_S3/rigid_easy_backfill/F30,45512.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,93.29821852317211,67.29792626326166,29.761175670016748,180.84999999999613,45.21249999999903,0.06311069235064073
cori_haswell,0,S3,rigid_easy_backfill,F10,cori_haswell_mal0_S3/rigid_easy_backfill/F10,45512.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,90.28974443979197,74.92213672529358,9.825952680067001,132.28333333332313,33.07083333333078,0.13848757677274198
cori_haswell,0,S7,min_steal_agreement,F30,cori_haswell_mal0_S7/min_steal_agreement/F30,13405.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,93.44590428996938,67.05707356225618,29.137091708542712,658.3833333333278,164.59583333333194,0.22975409454680615
cori_haswell,0,S7,min_steal_agreement,F10,cori_haswell_mal0_S7/min_steal_agreement/F10,13405.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,90.23510201470395,75.00970564628734,9.796857551647124,155.0833333333293,38.77083333333233,0.1623569235064168
cori_haswell,0,S7,rigid_easy_backfill,F30,cori_haswell_mal0_S7/rigid_easy_backfill/F30,45512.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,93.15870440163849,67.4823335427142,29.197942839195978,611.8499999999926,152.96249999999816,0.21351549413735083
cori_haswell,0,S7,rigid_easy_backfill,F10,cori_haswell_mal0_S7/rigid_easy_backfill/F10,45512.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,90.33093709287222,74.8578831658296,9.796792120323842,154.74999999999608,38.68749999999902,0.16200795644890714
cori_haswell,100,S0,min_steal_agreement,F30,cori_haswell_mal100_S0/min_steal_agreement/F30,24806.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,99.70379966964596,69.9641000139583,29.86915916387493,99.00000000001194,24.750000000002984,0.0345477386934715
cori_haswell,100,S0,min_steal_agreement,F10,cori_haswell_mal100_S0/min_steal_agreement/F10,40522.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,99.85594930671891,89.89053339615029,9.944775963149079,42.13333333332392,10.53333333333098,0.04410943606922522
cori_haswell,100,S0,rigid_easy_backfill,F30,cori_haswell_mal100_S0/rigid_easy_backfill/F30,45512.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,93.25718581332622,66.78812901312192,29.796006944444443,154.06666666667343,38.51666666666836,0.05376419132700775
cori_haswell,100,S0,rigid_easy_backfill,F10,cori_haswell_mal100_S0/rigid_easy_backfill/F10,45512.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,89.9529039875307,74.88621492881116,9.907567350642099,70.61666666665849,17.654166666664622,0.07392867113343646
cori_haswell,100,S3,min_steal_agreement,F30,cori_haswell_mal100_S3/min_steal_agreement/F30,24806.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,99.73514854364538,69.987328133724,29.871383828866556,97.90000000000737,24.47500000000184,0.03416387493020916
cori_haswell,100,S3,min_steal_agreement,F10,cori_haswell_mal100_S3/min_steal_agreement/F10,40522.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,99.84859191792324,89.92246388191236,9.920893530150753,60.29999999999056,15.07499999999764,0.06312814070350772
cori_haswell,100,S3,rigid_easy_backfill,F30,cori_haswell_mal100_S3/rigid_easy_backfill/F30,45512.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,93.23502640517476,67.13201423785684,29.784076633165828,164.7333333333377,41.183333333334424,0.05748650660711114
cori_haswell,100,S3,rigid_easy_backfill,F10,cori_haswell_mal100_S3/rigid_easy_backfill/F10,45512.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,89.89993369625937,74.87923558766084,9.86261603154662,104.89999999999529,26.224999999998822,0.10981993299832005
cori_haswell,100,S7,min_steal_agreement,F30,cori_haswell_mal100_S7/min_steal_agreement/F30,24806.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,99.80281907221315,69.97808050669954,29.897469116415408,78.25000000000568,19.56250000000142,0.027306672250141568
cori_haswell,100,S7,min_steal_agreement,F10,cori_haswell_mal100_S7/min_steal_agreement/F10,40522.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,99.87062046342858,89.94881089475425,9.92017378559464,60.93333333332388,15.23333333333097,0.06379117811277626
