cluster,mal,seed,scheduler,policy,run,window_start_s,window_end_s,window_days,wait_threshold_s,jobs_seen,jobs_completed_window_submit,wait_mean_s,wait_p95_s,turnaround_mean_s,turnaround_p95_s,runtime_mean_s,runtime_p95_s,throughput_jobs_per_hour_submit_window,num_nodes,window_node_hours,grid_cost_usd_per_kwh,solar_cost_usd_per_kwh,grid_co2e_kg_per_kwh,solar_co2e_kg_per_kwh,energy_total_kwh,energy_on_kwh,energy_boot_kwh,energy_shutdown_kwh,energy_off_kwh,grid_energy_kwh,solar_used_kwh,solar_curtailed_kwh,renewable_share_percent,cost_total_usd,co2_total_kg,cost_per_day_usd,co2_per_day_kg,energy_per_day_kwh,energy_per_node_hour_kwh,cost_per_node_hour_usd,co2_per_node_hour_kg,power_avg_kw,power_peak_kw,off_fraction_mean,boot_fraction_mean,shutdown_fraction_mean
cori_haswell,0,S0,min_steal_agreement,F30,cori_haswell_mal0_S0/min_steal_agreement/F30,13405.0,424714.0,4.7605208333333335,2.0,28259,27765,1438.006735098145,10809.0,4455.178210120655,16577.1,3017.1720560417793,4516.05,243.01437605304042,2388,272834.97,0.18,0.06,0.264,0.04,85474.29428888955,85328.01713333307,23.9525,0.3666,121.95805555555988,65471.69741388963,20002.596875000854,0.0,23.401885960468128,12985.061347000186,18084.6319922669,2727.6556077810505,3798.8767669364397,17954.819920206115,0.3132820337836076,0.04759309756736898,0.0662841423600021,748.1174966752548,864.456,0.08940060400289271,0.0004367719675621738,8.613265374303008e-06
cori_haswell,0,S0,min_steal_agreement,F10,cori_haswell_mal0_S0/min_steal_agreement/F10,13405.0,424714.0,4.7605208333333335,2.0,28259,27765,377.5138123535746,2977.0,3394.685497280749,6084.8,3017.1720589231045,4516.05,243.01437605304042,2388,272834.97,0.18,0.06,0.264,0.04,88497.7825472224,88449.14482777823,7.973,0.11439999999999999,40.55031944444393,68495.18567222195,20002.596875000854,0.0,22.602370702709383,13529.289233500003,18882.83289246663,2841.976688510099,3966.547685339044,18589.93703536761,0.32436378132620763,0.04958781212503663,0.06920972371124799,774.5807098069837,864.456,0.02972516275640505,0.00014538703255915716,2.6878274926903006e-06
cori_haswell,0,S0,min_steal_agreement,F0,cori_haswell_mal0_S0/min_steal_agreement/F0,13405.0,424714.0,4.7605208333333335,2.0,28259,27765,281.6001800828381,2638.0,3298.771915973348,5605.0,3017.172062884927,4516.05,243.01437605304042,2388,272834.97,0.18,0.06,0.264,0.04,89990.8730333342,89990.8730333342,0.0,0.0,0.0,69988.27615833333,20002.596875000854,0.0,22.22736173210759,13798.045521000051,19277.008780800035,2898.431916185652,4049.3486859298555,18903.57718912077,0.32983628540481524,0.050572862859185726,0.070654464788,787.6490495466987,864.456,0.0,0.0,0.0
cori_haswell,0,S0,rigid_easy_backfill,F30,cori_haswell_mal0_S0/rigid_easy_backfill/F30,45512.0,424714.0,4.388912037037037,2.0,28259,26488,1469.8837586831019,12121.0,4382.773618884023,16817.3,2912.890452355784,4212.0,251.46702812748876,2388,251537.32666666666,0.18,0.06,0.264,0.04,79809.75843222319,79676.22834888923,19.182100000000002,0.4134,113.93458333333469,61468.286210000486,18341.472222222594,0.0,22.981490713067018,12164.779851133444,16961.286448329032,2771.707372687722,3864.5765294898983,18184.406011951633,0.31728793292768764,0.04836172830624864,0.06743049500087064,757.6835838313181,864.456,0.09059059730273564,0.0003794002846337001,1.0535215727690938e-05
cori_haswell,0,S0,rigid_easy_backfill,F10,cori_haswell_mal0_S0/rigid_easy_backfill/F10,45512.0,424714.0,4.388912037037037,2.0,28259,26488,429.42019027484145,3643.0,3342.3102625339775,6188.63,2912.890449335548,4212.0,251.46702812748876,2388,251537.32666666666,0.18,0.06,0.264,0.04,82634.16822111096,82589.76937111103,6.3784,0.12219999999999999,37.89824999999991,64292.69599888853,18341.472222222594,0.0,22.195990613888466,12673.173613133291,17706.93063259548,2887.5433151057123,4034.469245036285,18827.939025384854,0.32851652403309695,0.050382874705222506,0.070394843052699,784.4974593910355,864.456,0.030133301090714198,0.00012615755185863865,3.1141832654180763e-06
cori_haswell,0,S0,rigid_easy_backfill,F0,cori_haswell_mal0_S0/rigid_easy_backfill/F0,45512.0,424714.0,4.388912037037037,2.0,28259,26488,312.92758985193296,2862.0,3225.817717796738,5649.0,2912.8904599063726,4212.0,251.46702812748876,2388,251537.32666666666,0.18,0.06,0.264,0.04,84028.2751044448,84028.2751044448,0.0,0.0,0.0,65686.80288222221,18341.472222222594,0.0,21.827738578977918,12924.112852133352,18074.97484979557,2944.719042685222,4118.326978819567,19145.581956382168,0.33405886998154255,0.0513804969759426,0.07185802238308847,797.7325815159236,864.456,0.0,0.0,0.0
cori_haswell,0,S3,min_steal_agreement,F30,cori_haswell_mal0_S3/min_steal_agreement/F30,13405.0,424714.0,4.7605208333333335,2.0,28259,27765,1490.0228345037638,10435.0,4507.194311795426,17215.0,3017.172047037637,4516.05,243.01437605304042,2388,272834.97,0.18,0.06,0.264,0.04,85466.38512222236,85319.95723333291,23.959200000000003,0.22879999999999998,122.23988888888788,65463.78824722262,20002.596875000854,0.0,23.404051600399235,12983.637697000124,18082.543972266805,2727.356554368639,3798.438155264903,17953.15851235935,0.3132530449532271,0.04758787957790061,0.06627648930878181,748.0482713483062,864.456,0.08960720019789904,0.00043689414153911426,5.375654985380601e-06
cori_haswell,0,S3,min_steal_agreement,F10,cori_haswell_mal0_S3/min_steal_agreement/F10,13405.0,424714.0,4.7605208333333335,2.0,28259,27765,389.54010444793806,3071.0,3406.7117854132903,6423.58,3017.1720589231045,4516.05,243.01437605304042,2388,272834.97,0.18,0.06,0.264,0.04,88504.18854722279,88455.78662777827,7.9462,0.1404,40.31531944444392,68501.59167222233,20002.596875000854,0.0,22.600734726049897,13530.442313500072,18884.52407646673,2842.2189057044857,3966.9029372241434,18591.282686447532,0.3243872607210974,0.0495920384161168,0.06921592227149889,774.6367786019806,864.456,0.02955289744891899,0.00014489833665139529,3.2986973773926413e-06
cori_haswell,0,S3,min_steal_agreement,F0,cori_haswell_mal0_S3/min_steal_agreement/F0,13405.0,424714.0,4.7605208333333335,2.0,28259,27765,281.6001800828381,2638.0,3298.771915973348,5605.0,3017.172062884927,4516.05,243.01437605304042,2388,272834.97,0.18,0.06,0.264,0.04,89990.8730333342,89990.8730333342,0.0,0.0,0.0,69988.27615833333,20002.596875000854,0.0,22.22736173210759,13798.045521000051,19277.008780800035,2898.431916185652,4049.3486859298555,18903.57718912077,0.32983628540481524,0.050572862859185726,0.070654464788,787.6490495466987,864.456,0.0,0.0,0.0
cori_haswell,0,S3,rigid_easy_backfill,F30,cori_haswell_mal0_S3/rigid_easy_backfill/F30,45512.0,424714.0,4.388912037037037,2.0,28259,26488,1603.2774463908186,12157.0,4516.167293264874,16505.6,2912.8904591513137,4212.0,251.46702812748876,2388,251537.32666666666,0.18,0.06,0.264,0.04,79816.25328222217,79682.8840488886,19.162000000000006,0.2574,113.94983333333296,61474.781059999885,18341.472222222594,0.0,22.979620651158616,12165.948924133336,16963.001088728874,2771.973742346085,3864.967204988831,18185.88584338689,0.31731375354876623,0.048366376018043084,0.06743731164483582,757.7452434744537,864.456,0.09060272273970525,0.0003790027293232212,6.559662622901905e-06
