mal_idx,mal_label,msa_F0,msa_F30,msa_F10
0,mal0,2.53155094313,2.51755966962,2.53155094189
1,mal25,3.69619834694,3.18479864567,3.4178193522
2,mal50,5.20253736681,4.29782009329,4.8913009392
3,mal75,6.61311378861,5.94841505683,6.41561291121
4,mal100,5.65659929672,7.48084852907,7.16180787987
