mal_idx,mal_label,msa_F0,msa_F30,msa_F10
0,mal0,0.838103350801,0.838103348334,0.838103349601
1,mal25,0.674717800806,0.680390788823,0.668651583623
2,mal50,0.537201089438,0.564986539901,0.541447431317
3,mal75,0.433465672745,0.47892622402,0.44553776772
4,mal100,0.335733014726,0.400324103204,0.347584126083
