mal_idx,mal_label,msa_F0,msa_F30,msa_F10
0,mal0,0.0782222722452,0.396470353029,0.107314131167
1,mal25,0.0197889331181,0.0155534727154,0.0164425610123
2,mal50,0.00187276942473,0.00139577864463,0.00114372403705
3,mal75,0.00074552282404,0.00163722761701,0.000578293943726
4,mal100,0.000399636247735,0.00346931731627,0.00057629111471
