mal_idx,f0_min,f0_max,f10_min,f10_max,f30_min,f30_max
0,1.850925,1.850933,1.872292,2.114067,1.847444,1.981562
1,2.125306,2.283234,1.608698,1.745381,1.524567,1.689150
2,1.879636,2.327157,1.464638,1.919709,1.402806,1.486639
3,1.471570,1.740279,1.298253,1.412605,1.258291,1.746328
4,0.687469,0.687469,0.714713,0.718626,0.855190,0.883883
