mal_idx,f0_min,f0_max,f10_min,f10_max,f30_min,f30_max
0,10.359961,10.668011,9.859136,12.124068,8.418349,10.769438
1,8.894483,9.360147,6.298148,7.466940,3.892810,5.623111
2,8.823366,9.636208,7.110386,8.253765,5.325753,7.158435
3,7.543768,8.861438,7.179354,8.674487,6.407306,8.291586
4,5.704840,5.704840,7.528269,7.827794,10.054068,10.474009
